Index,Company,Symbol,Weight,Price,Change,Percent Change
1,Nvidia,NVDA,7.38%,190.41,-1.11,(-0.58%)
2,Apple Inc.,AAPL,6.05%,258.07,1.63,(0.64%)
3,Microsoft,MSFT,5.02%,423.92,-57.71,(-11.98%)
4,Amazon,AMZN,4.08%,239.46,-3.55,(-1.46%)
5,Alphabet Inc. (Class A),GOOGL,3.36%,336.53,0.52,(0.16%)
6,Alphabet Inc. (Class C),GOOG,3.12%,336.81,0.53,(0.16%)
7,Meta Platforms,META,2.96%,736.26,67.53,(10.10%)
8,Broadcom,AVGO,2.49%,329.85,-3.39,(-1.02%)
9,"Tesla, Inc.",TSLA,2.23%,420.18,-11.28,(-2.62%)
10,Berkshire Hathaway,BRK.B,1.63%,473.85,0.36,(0.07%)
11,Walmart,WMT,1.49%,117.46,0.89,(0.77%)
12,Lilly (Eli),LLY,1.47%,1028.61,4.81,(0.47%)
13,JPMorgan Chase,JPM,1.31%,305.18,4.41,(1.47%)
14,Visa Inc.,V,1.02%,331.90,4.92,(1.50%)
15,ExxonMobil,XOM,0.95%,141.01,3.43,(2.49%)
16,Johnson & Johnson,JNJ,0.88%,227.85,0.13,(0.06%)
17,Micron Technology,MU,0.78%,433.72,-1.56,(-0.36%)
18,Mastercard,MA,0.77%,540.17,18.80,(3.61%)
19,Oracle Corporation,ORCL,0.76%,165.30,-7.50,(-4.34%)
20,Costco,COST,0.67%,951.83,-8.95,(-0.93%)
21,Advanced Micro Devices,AMD,0.64%,248.43,-4.31,(-1.71%)
22,AbbVie,ABBV,0.63%,223.34,4.67,(2.14%)
23,Bank of America,BAC,0.61%,52.77,0.96,(1.85%)
24,Home Depot (The),HD,0.59%,372.18,-3.12,(-0.83%)
25,Palantir Technologies,PLTR,0.57%,150.05,-7.30,(-4.64%)
26,Netflix,NFLX,0.56%,82.83,-1.81,(-2.14%)
27,Procter & Gamble,PG,0.55%,149.69,2.35,(1.60%)
28,Chevron Corporation,CVX,0.55%,172.79,2.86,(1.68%)
29,Coca-Cola Company (The),KO,0.51%,73.92,0.86,(1.18%)
30,GE Aerospace,GE,0.50%,298.60,6.12,(2.09%)
31,Caterpillar Inc.,CAT,0.50%,664.64,21.36,(3.32%)
32,Cisco,CSCO,0.49%,78.41,-0.55,(-0.69%)
33,Lam Research,LRCX,0.49%,245.76,6.18,(2.58%)
34,Morgan Stanley,MS,0.46%,181.60,-0.74,(-0.41%)
35,IBM,IBM,0.45%,304.81,10.65,(3.62%)
36,Goldman Sachs,GS,0.45%,934.55,-2.26,(-0.24%)
37,Philip Morris International,PM,0.44%,177.85,-0.74,(-0.42%)
38,Wells Fargo,WFC,0.44%,89.19,1.16,(1.32%)
39,Merck & Co.,MRK,0.43%,109.77,2.87,(2.68%)
40,Applied Materials,AMAT,0.43%,338.88,2.13,(0.63%)
41,RTX Corporation,RTX,0.43%,200.14,0.68,(0.34%)
42,UnitedHealth Group,UNH,0.43%,294.43,0.41,(0.14%)
43,American Express,AXP,0.39%,358.90,1.91,(0.53%)
44,Intel,INTC,0.38%,48.23,-0.55,(-1.14%)
45,McDonald's,MCD,0.36%,316.98,4.18,(1.34%)
46,Thermo Fisher Scientific,TMO,0.35%,590.94,-17.08,(-2.81%)
47,KLA Corporation,KLAC,0.35%,1674.43,47.23,(2.90%)
48,Linde plc,LIN,0.34%,453.50,2.00,(0.44%)
49,T-Mobile US,TMUS,0.34%,188.31,2.06,(1.10%)
50,PepsiCo,PEP,0.33%,150.38,1.88,(1.26%)
51,Texas Instruments,TXN,0.32%,219.88,3.72,(1.72%)
52,Citigroup,C,0.32%,114.20,0.00,(0.00%)
53,Salesforce,CRM,0.32%,211.71,-16.25,(-7.13%)
54,Walt Disney Company (The),DIS,0.31%,111.09,1.53,(1.40%)
55,GE Vernova,GEV,0.31%,708.40,-3.19,(-0.45%)
56,AppLovin Corporation,APP,0.31%,566.67,24.31,(4.48%)
57,Arista Networks,ANET,0.30%,148.83,-1.32,(-0.88%)
58,Amgen,AMGN,0.30%,346.37,4.14,(1.21%)
59,Boeing,BA,0.30%,237.55,-4.04,(-1.67%)
60,Abbott Laboratories,ABT,0.29%,106.10,0.05,(0.04%)
61,NextEra Energy,NEE,0.29%,88.40,0.83,(0.94%)
62,Amphenol,APH,0.29%,149.59,3.63,(2.49%)
63,Charles Schwab Corporation,SCHW,0.29%,102.97,-0.50,(-0.48%)
64,Intuitive Surgical,ISRG,0.29%,505.19,-16.84,(-3.23%)
65,AT&T,T,0.28%,24.91,0.84,(3.51%)
66,BlackRock,BLK,0.28%,1123.85,2.17,(0.19%)
67,Gilead Sciences,GILD,0.28%,139.28,-0.44,(-0.32%)
68,Uber,UBER,0.27%,81.82,2.04,(2.55%)
69,Verizon,VZ,0.27%,40.02,0.62,(1.56%)
70,Booking Holdings,BKNG,0.26%,5092.49,7.27,(0.14%)
71,TJX Companies,TJX,0.26%,147.21,-0.58,(-0.39%)
72,Qualcomm,QCOM,0.26%,151.56,-1.14,(-0.75%)
73,Accenture,ACN,0.26%,260.22,-10.21,(-3.78%)
74,S&P Global,SPGI,0.25%,526.11,-2.01,(-0.38%)
75,Danaher Corporation,DHR,0.25%,219.36,-5.18,(-2.31%)
76,Analog Devices,ADI,0.25%,316.44,-1.19,(-0.37%)
77,Lowe's,LOW,0.24%,266.86,-2.56,(-0.95%)
78,Pfizer,PFE,0.24%,26.18,0.32,(1.26%)
