Ticker,Stock Price,Market Cap,Number of Shares to Buy,Total Cost
AAPL,211.3,3156048084992,0.0,0.0
MSFT,512.885,3812038541312,0.0,0.0
AAPL,211.24,3155038306304,0.0,0.0
NVDA,173.415,4229175443456,0.0,0.0
AMZN,223.67,2374570082304,0.0,0.0
META,703.05,1767699775488,0.0,0.0
AVGO,287.92,1354223190016,0.0,0.0
BRK.B,,,,
GOOGL,182.75,2221984186368,0.0,0.0
TSLA,320.74,1033090695168,0.0,0.0
GOOG,183.835,2225451565056,0.0,0.0
JPM,287.9,791629922304,0.0,0.0
V,349.32,682396614656,0.0,0.0
LLY,771.48,692585365504,0.0,0.0
NFLX,1260.03,536232263680,0.0,0.0
MA,552.78,501969584128,0.0,0.0
XOM,111.878,482153922560,0.0,0.0
COST,952.79,422540443648,0.0,0.0
WMT,95.175,759536484352,0.0,0.0
JNJ,163.3029,392918204416,0.0,0.0
PG,154.69,362676879360,0.0,0.0
HD,356.4425,354634629120,0.0,0.0
UNH,289.1497,262299238400,0.0,0.0
ABBV,189.85,335351054336,0.0,0.0
KO,69.775,300330418176,0.0,0.0
BAC,46.685,347181416448,0.0,0.0
CRM,259.48,248062885888,0.0,0.0
PM,179.17,278881665024,0.0,0.0
PLTR,153.47,362175365120,0.0,0.0
ORCL,248.1437,696993447936,0.0,0.0
WFC,80.325,258676211712,0.0,0.0
CSCO,68.3499,270665596928,0.0,0.0
IBM,281.43,261560188928,0.0,0.0
ABT,120.16,209059184640,0.0,0.0
GE,259.2,276376748032,0.0,0.0
CVX,150.2052,260189962240,0.0,0.0
MCD,299.06,213837774848,0.0,0.0
LIN,460.075,216568348672,0.0,0.0
NOW,960.96,199064797184,0.0,0.0
T,26.885,193591885824,0.0,0.0
MRK,81.75,205276708864,0.0,0.0
ACN,281.13,175102656512,0.0,0.0
ISRG,513.5748,184074452992,0.0,0.0
DIS,121.335,218129989632,0.0,0.0
INTU,755.42,210722144256,0.0,0.0
